2013-05-28 13:36:01,095 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 10] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:36:01,095 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 10] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:44:41,462 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 40] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:44:41,462 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 40] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:44:41,462 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 40] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:44:41,462 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 40] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:44:58,064 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 35] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:44:58,064 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 35] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:44:58,064 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 35] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:44:58,064 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 35] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:46:16,894 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 34] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:46:16,894 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 34] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:46:16,894 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 34] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:46:16,894 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 34] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:46:41,829 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 40] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:46:41,829 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 40] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:46:41,829 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 40] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:46:41,829 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 40] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:46:48,632 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 10] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:46:48,632 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 10] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:46:48,632 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 10] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:46:48,632 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 10] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 13:47:16,231 [5] INFO  umbraco.BusinessLogic.Log - [Thread 6] Log scrubbed.  Removed all items older than 2013-03-29 13:47:16
2013-05-28 13:47:16,253 [5] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 6] Application shutdown. Reason: ConfigurationChange
2013-05-28 14:18:10,951 [5] INFO  Umbraco.Core.CoreBootManager - [Thread 1] Umbraco application starting
2013-05-28 14:18:11,107 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Determining hash of code files on disk
2013-05-28 14:18:11,123 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Hash determined (took 21ms)
2013-05-28 14:18:12,465 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 16 (took 1324ms)
2013-05-28 14:18:12,527 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Models.IMacroPropertyType, found 0 (took 7ms)
2013-05-28 14:18:12,527 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 5ms)
2013-05-28 14:18:12,543 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 5ms)
2013-05-28 14:18:12,558 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 7ms)
2013-05-28 14:18:12,558 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 6ms)
2013-05-28 14:18:12,870 [5] INFO  Umbraco.Core.CoreBootManager - [Thread 1] Umbraco application startup complete (took 1901ms)
2013-05-28 14:18:13,822 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 21ms)
2013-05-28 14:18:13,838 [5] INFO  umbraco.BusinessLogic.Log - [Thread 6] Redirected log call (please use Umbraco.Core.Logging.LogHelper instead of umbraco.BusinessLogic.Log) | Type: Custom | User: 0 | NodeId: -1 | Comment: [UmbracoExamine] Adding examine event handlers for index providers: 4
2013-05-28 14:18:14,025 [5] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.ITree, found 27 (took 7ms)
2013-05-28 14:18:14,805 [5] INFO  umbraco.content - [Thread 6] Loading content from disk cache...
2013-05-28 14:18:17,926 [5] INFO  Umbraco.Core.PluginManager - [Thread 6] Completed resolution of types of umbraco.cms.businesslogic.macro.IMacroEngine, found 4 (took 6ms)
2013-05-28 14:18:19,268 [5] INFO  Umbraco.Core.PluginManager - [Thread 6] Completed resolution of types of umbraco.interfaces.IDataType, found 77 (took 10ms)
2013-05-28 14:18:19,314 [5] INFO  Umbraco.Core.PluginManager - [Thread 6] Completed resolution of types of umbraco.interfaces.ITree, found 39 (took 10ms)
2013-05-28 14:18:19,424 [5] INFO  Umbraco.Core.PluginManager - [Thread 6] Completed resolution of types of umbraco.MacroEngines.IRazorDataTypeModel, found 15 (took 7ms)
2013-05-28 14:18:20,032 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 6] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 14:18:20,095 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 6] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 14:18:20,095 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 6] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 14:18:20,095 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 6] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 14:19:18,550 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 7] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 14:19:18,550 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 7] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 14:19:18,550 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 7] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 14:19:18,550 [5] WARN  umbraco.MacroEngines.DynamicNode - [Thread 7] razorDataTypeModel successfully instantiated but returned null for instance
2013-05-28 14:19:51,320 [5] INFO  umbraco.BusinessLogic.Log - [Thread 7] Log scrubbed.  Removed all items older than 2013-03-29 14:19:51
2013-05-28 14:19:51,323 [5] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 7] Application shutdown. Reason: ConfigurationChange
2013-05-28 14:26:56,601 [11] INFO  Umbraco.Core.CoreBootManager - [Thread 1] Umbraco application starting
2013-05-28 14:26:56,633 [11] INFO  Umbraco.Core.PluginManager - [Thread 1] Determining hash of code files on disk
2013-05-28 14:26:56,664 [11] INFO  Umbraco.Core.PluginManager - [Thread 1] Hash determined (took 15ms)
2013-05-28 14:26:56,960 [11] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 16 (took 275ms)
2013-05-28 14:26:56,991 [11] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Models.IMacroPropertyType, found 0 (took 10ms)
2013-05-28 14:26:57,007 [11] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 9ms)
2013-05-28 14:26:57,007 [11] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 8ms)
2013-05-28 14:26:57,038 [11] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 15ms)
2013-05-28 14:26:57,054 [11] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 9ms)
2013-05-28 14:26:57,241 [11] INFO  Umbraco.Core.CoreBootManager - [Thread 1] Umbraco application startup complete (took 624ms)
2013-05-28 14:26:57,506 [11] INFO  umbraco.BusinessLogic.Log - [Thread 6] Redirected log call (please use Umbraco.Core.Logging.LogHelper instead of umbraco.BusinessLogic.Log) | Type: Custom | User: 0 | NodeId: -1 | Comment: [UmbracoExamine] Adding examine event handlers for index providers: 4
2013-05-28 14:26:57,506 [11] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 14ms)
2013-05-28 14:26:57,584 [11] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.ITree, found 27 (took 6ms)
2013-05-28 14:27:00,018 [11] INFO  umbraco.BasePages.BasePage - [Thread 17] User admin (Id: 0) logged in
2013-05-28 14:27:00,268 [11] INFO  Umbraco.Core.PluginManager - [Thread 18] Completed resolution of types of umbraco.BusinessLogic.Actions.IActionHandler, found 1 (took 6ms)
2013-05-28 14:27:00,424 [11] INFO  Umbraco.Core.PluginManager - [Thread 18] Completed resolution of types of umbraco.interfaces.ITree, found 39 (took 6ms)
2013-05-28 14:32:27,100 [11] INFO  Umbraco.Core.PluginManager - [Thread 13] Completed resolution of types of umbraco.interfaces.IDataType, found 77 (took 7ms)
2013-05-28 14:32:27,692 [11] INFO  umbraco.content - [Thread 13] Loading content from disk cache...
2013-05-28 14:35:12,351 [11] INFO  Umbraco.Core.PluginManager - [Thread 27] Completed resolution of types of umbraco.cms.businesslogic.macro.IMacroEngine, found 4 (took 7ms)
2013-05-28 14:35:12,741 [11] INFO  Umbraco.Core.PluginManager - [Thread 27] Completed resolution of types of umbraco.MacroEngines.IRazorDataTypeModel, found 15 (took 7ms)
2013-05-28 14:35:14,272 [11] WARN  umbraco.MacroEngines.DynamicNode - [Thread 27] razorDataTypeModel successfully instantiated but returned null for instance
